,text,label
141,That was the day when we saw it .,A2
142,I 've spoken with all the parents except for his .,A2
143,I do n't like wearing skirts during winter .,A2
144,I shop where I see happy employees .,A2
145,Have you lost your mind ?,A2
146,Have you made up your mind ?,A2
147,I wonder why people still die of curable diseases .,A2
148,He is the man whose daughter is missing .,A2
149,These sneakers are so soft I could wear them to sleep in .,A2
150,Did you get what you wanted ?,A2
151,He did n't know how he should state that .,A2
152,They 'd be angry if she had gone too .,A2
153,She said she has not seen anyone all night .,A2
154,Nothing is as good as my mother 's homemade seafood pasta .,A2
155,Not all adults are always correct in what they do or say .,A2
156,This will help them to improve .,A2
157,Mayweather is the current heavy weight champion .,A2
158,He recently started boxing .,A2
159,My flight leaves at two o'clock .,A2
160,Latin is a dead language .,A2
161,We waited a long time for her arrival .,A2
162,They wish they could be happy .,A2
163,I am a high- level manager in a small company .,A2
164,A man dressed as a policeman was asking questions .,A2
165,It 's easy to buy silk in Asia .,A2
166,I love my cashmere sweater !,A2
167,I told her to call me if there was any news on his condition .,A2
168,The park near our house reminds me of our first date .,A2
169,The Seto Ohashi Bridge was built in the 1980s .,A2
170,Were there dogs at the park ?,A2
171,The teacher loves picking on me .,A2
172,The highway is faster .,A2
173,This is an area where most people drive rather than walk .,A2
174,I was excited because Stella and I had 500 dollars to share between the two of us .,A2
175,I have been ill since morning .,A2
176,It was that time when you got sick .,A2
177,Is the dog safe to pet ?,A2
178,Do you know what the kids ate for dinner last night ?,A2
179,"If they had gone north , we could have followed them .",A2
180,There is no more water .,A2
181,Is there enough water ?,A2
182,Her smile told me everything I needed to know .,A2
183,We are against elephant hunting .,A2
184,The doors must be locked by midnight .,A2
185,There were many rabbits at the petting zoo .,A2
186,We have been to England as well as to France .,A2
187,"Since she was n't feeling well today , she was working badly .",A2
188,Please ask your father to call me .,A2
189,Was there a man or a woman in the car ?,A2
190,Is there a problem ?,A2
191,There 's not enough salt .,A2
192,She does n't know what she is doing .,A2
193,Who wants to lead the way ?,A2
194,"If I found myself in a new city , I 'd take a tour .",A2
195,Freestyle snowboarding is now an Olympic sport .,A2
196,Your mother told me all about your new job when I called last night .,A2
197,She sat at the table in front of ours .,A2
198,She put jam on her toast .,A2
199,The plastic chair is broken .,A2
200,She gave him a new cup .,A2
201,He has already opened all his birthday gifts .,A2
202,Look at that shooting star !,A2
203,I do n't know why he dislikes me .,A2
204,I 'd like you to meet my parents .,A2
205,I wish she could have forgiven him .,A2
206,"If he was a few years older , he could join .",A2
207,"If it were me , I 'd join .",A2
208,Can you keep a secret ?,A2
209,I felt sad after watching that movie .,A2
210,We had lobster for Jake 's birthday dinner .,A2
211,There is a hole in my sneakers .,A2
212,There were leaves in her hair .,A2
213,Stadium food is expensive .,A2
214,She was the woman whose name was forgotten .,A2
215,She went looking for her dog .,A2
216,Have you just arrived ?,A2
217,She 's just sent me a letter .,A2
218,"If he went on Saturday , there might be less traffic .",A2
219,"If he were my father , I 'd write him .",A2
220,My grandson visits often .,A2
221,It is close to our house .,A2
222,He never listens to what I say .,A2
223,It will start getting chilly in Tokyo soon .,A2
224,It 's too windy to sit outside .,A2
225,It is difficult to see you in pain .,A2
226,Liz got up quietly .,A2
227,Were there people at the concert ?,A2
228,Do you know what book he was reading ?,A2
229,I lost my gold ring .,A2
230,Have you been studying French ?,A2
231,That parking lot is full .,A2
232,My car was damaged in that parking lot .,A2
233,There are plans to build a new library at my school .,A2
234,Have you already had your lunch ?,A2
235,Every day he tells his wife not to worry but I know she does .,A2
236,Jill was always excited to eat melons .,A2
237,I need a place to put my bag .,A2
238,This is my bag .,A2
239,Louis finds fashion interesting .,A2
240,He has already left for his class .,A2
241,Gloria always wore very big earrings .,A2
242,Jack kept a white mouse as a pet .,A2
243,We did n't want to wake the sleeping girls .,A2
244,She started counting sheep so she could sleep .,A2
245,None of them were confident they would win .,A2
246,I wish they would stop knocking on my door .,A2
247,Turkey sandwich was her favorite .,A2
248,Have you been staying up late ?,A2
249,I do n't know how he did it .,A2
250,He does n't know how to do it .,A2
251,I ca n't wait for the day when we have flying cars .,A2
252,There were not many swimmers in the water .,A2
253,"If we were all alike , life would be boring .",A2
254,All the dishes were broken in the earthquake .,A2
255,It 's too hot to sleep .,A2
256,You must not get too close to the fire .,A2
257,I wish she could have seen it .,A2
258,"We were planning to go together , but she got sick .",A2
259,She often wore her pajamas until noon .,A1
260,Where are the kids ?,A2
261,He never talks about his ex-wife .,A2
262,The teacher asked him to close the windows .,A2
263,Mother was happy to finally get a new dog after Daisy died .,A2
264,Does it snow here ?,A2
265,He felt his chest tighten .,A2
266,That was the moment when they sang .,A2
267,Few people liked her .,A2
268,It 's football season in America .,A2
269,All of you should leave .,A2
270,Please return my book as soon as possible .,A2
271,Have you met our brother ?,A2
272,I do n't like heavy metal music .,A2
273,Lady Gaga is a woman whom many young people enjoy .,A2
274,I became interested in Japan .,A2
275,These houses were built before the war .,A2
276,There are few girls in the soccer team .,A2
277,The woman listening to the music looked so happy .,A2
278,She cooks for her little brother .,A2
279,Her little brother liked collecting pocket knives .,A2
280,There will be consequences .,A2
281,They were married in Rome .,A2
282,It 's time to go .,A2
283,The teacher often gave out chocolate .,A2
284,I wish I could find my real parents .,A2
285,I wish we could have gone to the movies .,A2
286,The soccer stadium was full of fans .,A2
287,The meat was still a little too raw .,A2
288,I am not sad either .,A2
289,His grandfather retired last year .,A2
290,I prefer mild climates .,A2
291,"This was hers , and she gave it to me a few years before she died .",A2
292,He always had a toothpick in his mouth .,A2
293,She will do it as soon as she comes back from lunch .,A2
294,Would you like me to carry that for you ?,A2
295,He had to wear a tie to work .,A2
296,Today is another weekday .,A2
297,You can use ours .,A2
298,I wish I had a cat .,A2
299,My printer ran out of ink .,A2
300,Her eyes were closed .,A2
301,I wish I could go out tonight .,A2
302,I left the house on time but the train was late .,A2
303,Both of you are late .,A2
304,There is a teacher from France .,A2
305,There was a girl killed here yesterday .,A2
306,He ran around the park .,A2
307,He ran across the basketball court .,A2
308,He asked the teacher what to do .,A2
309,I feel it necessary to speak up .,A2
310,We rarely see each other .,A2
311,We have n't met yet .,A2
312,Everyone needs healthy food .,A2
313,Carrie knew her sister was happy .,A2
314,Would you hand me that white one ?,A2
315,Do you think you were changed by what you saw ?,A2
316,I have n't seen her since we were in high school together .,A2
317,He pressed the leaf in the pages of an old book .,A2
318,I wish I could find my other sock .,A2
319,We 've lived in Tokyo for a long time .,A2
320,This is made of paper .,A2
321,Chicken is healthier than beef .,A2
322,I have never met his girlfriend but I have seen her .,A2
323,He 's got a girlfriend .,A2
324,I was born here .,A2
325,I do not always listen to music .,A2
326,I 'm not sure when to use this unusual fork .,A2
327,You ca n't pet service dogs or police dogs .,A2
328,She runs very fast .,A2
329,I do n't know who she is .,A2
330,The area was best known for their pineapples .,A2
331,She taught her children to be polite .,A2
332,I wish I could be a scientist .,A2
333,He always boiled his broccoli .,A2
334,I wish I had known .,A2
335,The presenter started to speak .,A2
336,Can you teach her how to walk ?,A2
337,You must teach her where to go .,A2
338,Is it Tuesday already ?,A2
339,Is it already 5 p. m.?,A2
340,Sitting for too long is a bad idea .,A2
341,I got bored at the beach .,A2
342,There was nothing to save after the fire .,A2
343,There were several lobsters in the tank .,A2
344,Would you mind if our friends came with us ?,A2
345,He 's got a bad temper .,A2
346,I would like you to do it before dinner .,A2
347,Some pop singers have no talent .,A2
348,She is an FBI agent .,A2
349,She is very excited about her upcoming trip .,A2
350,My aunt had three daughters .,A2
351,I think I need to lose a few more kilograms .,A2
352,The dryer ate my sock .,A2
353,I grew up with three brothers .,A2
354,Shall I help you with your homework ?,A2
355,Each story is different from the others .,A2
356,Who is your favorite Japanese artist ?,A1
357,It was the day when she broke her arm .,A2
358,She was happy but now she is sad .,A2
359,I have n't mailed it yet .,A2
360,I wish we could tell them .,A2
361,I told him I would do it .,A2
362,I told you he could do it .,A2
363,What a boring teacher !,A2
364,Have you ever been married ?,A2
365,Have you met the groom yet ?,A2
366,She only has a few friends .,A2
367,It is as hot as the desert .,A2
368,"If it was his , where did it go ?",A2
369,That child has a puppy .,A2
370,That boy seems interested in you .,A2
371,It would be better if I went .,A2
372,Many cities have metros .,A1
373,The food was brought on beautiful plates .,A2
374,They went skiing last winter .,A1
375,Let 's wait in front of the store .,A2
376,Mother loved mixing cream with everything .,A2
377,Many children picked the fruit .,A2
378,"If we had known , we 'd have come .",A2
379,"If I had known it would be like this , I would n't have come !",A2
380,The story was covered by many reporters .,A2
381,I tried to clean up .,A2
382,How many frogs are in your aquarium ?,A2
383,I wish it would stop raining .,A2
384,"If she had known , she 'd have stayed .",A2
385,"In order to lose weight , he ate vegetables .",A2
386,"In order to save time , he drove .",A2
387,I said I was going home .,A2
388,She hoped to find a good job at the job fair .,A2
389,Movies produced in Hollywood are popular .,A2
390,She said she had something to tell you but she did n't say what it was .,A2
391,He spoke to both of us .,A2
392,He told us what he had seen .,A2
393,This area is known for its peaches .,A2
394,The food is usually good there .,A2
395,They planned to go to Canada .,A2
396,They often liked doing things together .,A2
397,I 'd like to be a godmother .,A2
398,"If I had found it , you 'd know .",A2
399,Have you ever seen this kind of issue before ?,A2
400,Have you ever seen anything like this before ?,A2
401,Where did you buy that beautiful pair of pajamas ?,A2
402,Jane had a nice jacket collection .,A2
403,My tooth is loose .,A2
404,I need to see my dentist for this toothache .,A2
405,She began to walk more and more slowly .,A2
406,My dog died when I was five .,A2
407,Have you ever been in a limo ?,A2
408,I lent her my coat .,A2
409,She put makeup on every day .,A2
410,She ate spaghetti every week .,A2
411,The trees planted last year look great .,A2
412,"It will be April soon , so I will finally get to see beautiful cherry blossom trees .",A2
413,Our kids have trouble deciding what to wear to school .,A2
414,Have you seen my sneakers ?,A2
415,My grandmother was always wonderful at telling bedtime stories .,A2
416,He caused a problem .,A2
417,Her hair was as soft as silk .,A2
418,The Americans fought in the Vietnamese War .,A2
419,We show children how to be creative .,A2
420,A baby sheep is called a lamb .,A2
421,It should get cooler in the afternoon .,A2
422,It is in the mountains where you see beautiful trees .,A2
423,Nothing in this dinosaur museum is real .,A2
424,They may be at the restaurant already .,A2
425,She went home late .,A2
426,Do not listen to your older sister because she is not always right .,A2
427,The story brought us hope .,A2
428,"Because his fingers were broken , he could no longer play the piano .",A2
429,The staff have n't opened the office yet .,A2
430,Whales are generally peaceful animals .,A2
431,She was as beautiful as they said .,A2
432,Who is the author of that book ?,A2
433,Tokyo is preparing for the 2020 Olympics .,A2
434,It was then that I saw her .,A2
435,It was summer when I saw her again .,A2
436,I have just finished my homework .,A2
437,He was n't allowed to have any alcohol .,A2
438,He is a man whose career has been long and successful .,A2
439,I 'd like you to set the table for dinner .,A2
440,Shall we start the conference now ?,A2
441,She works on Wall Street .,A2
442,Do you have plans to travel to Europe this year ?,A2
443,I hope to go to France one day .,A2
444,Have you seen it already ?,A2
445,Her eyes were as kind as ever .,A2
446,I have been teaching here for many years .,A2
447,I wish I was rich .,A2
448,I do n't know what to do about those noisy neighbors .,A2
449,Has the movie just started ?,A2
450,He had very powerful legs .,A2
451,Lisa does not always want to spend time with her boyfriend .,A2
452,The women coming over today are my friends .,A2
453,We love to invite our friends over .,A2
454,He died doing what he believed in .,A2
455,It was found yesterday .,A2
456,It was found on the train .,A2
457,She said I could borrow hers .,A2
458,I forgot my slippers but she let me borrow hers .,A2
459,I wish she could be there .,A2
460,We heard frogs near the lake .,A2
461,Shall we take Jessica to the hospital ?,A2
462,She had to start over .,A2
463,Let 's eat fish as many times as possible .,A2
464,He loves his sneakers more than his regular shoes .,A2
465,Why do you always wear sneakers ?,A2
466,Obama is a person whose power is respected .,A2
467,I do n't know where I put my house keys last night .,A2
468,I found his keys by the door .,A2
469,When was this built ?,A2
470,Which Canadian cities have you visited ?,A2
471,There is a storm coming .,A2
472,Limestone is often used in cement .,A2
473,There will be war .,A2
474,The windows were locked .,A2
475,He suddenly got angry .,A2
476,She placed her bag on the floor .,A2
477,The plane was as small as a car .,A2
478,He was followed by the police .,A2
479,The police came looking for the thief .,A2
480,What a gorgeous sunset !,A2
481,There are a lot of sheep in Ireland .,A2
482,Have you ever been on a plane ?,A2
483,Have you ever gone to sleep on a train ?,A2
484,Who is your favorite illustrator ?,A2
485,I love this illustrator !,A1
486,This is the room where it all began .,A2
487,I wish I could tell them good-bye .,A2
488,I wish I could tell them that I forgive them .,A2
489,The alarm will ring in a second .,A1
490,Tell him when to leave .,A2
491,The school allowed him to perform .,A2
492,Is that the house where we met ?,A2
493,I wish I could have finished it .,A2
494,Blue crabs are famous in this area .,A2
495,It has been raining since Tuesday .,A2
496,There have been fights .,A2
497,Have you seen hers ?,A2
498,Have you seen my sister ?,A2
499,I could n't believe what he said .,A2
500,I wish I were smarter .,A2
501,Will you allow us to go ?,A2
502,He learned when to start dancing .,A2
503,We learned to dance .,A2
504,It started raining during our picnic .,A2
505,Tokyo is one of the most exciting cities in the world .,A2
506,He walked through the door .,A2
507,I miss the way my mother laughed .,A2
508,I miss my mom .,A2
509,She must go home soon .,A2
510,She had warm brown eyes .,A2
511,He was a respected man in his community .,A2
512,She strained her neck .,A2
513,She received a ring from her boyfriend .,A2
514,I told her to visit again soon .,A2
515,He could n't stop looking at her .,A2
516,"I wish I could be there when she arrives , but I have another appointment .",A2
517,She has already arrived .,A2
518,Her eyes looked like emeralds .,A2
519,Her dress was emerald green .,A2
520,I wish I could go to bed instead of doing all this homework .,A2
521,He gave the boys some money to buy their mother some flowers .,A2
522,She got what she wanted .,A2
523,Did you forget yours ?,A2
524,He won an award for best actor .,A2
525,It was a great role that made him famous .,A2
526,"Wow , what a beautiful fabric .",A2
527,Blouses are more feminine than shirts .,A2
528,Everyone clapped their hands after the performance .,A2
529,Have you started classes yet ?,A2
530,"If you were me , what would you choose ?",A2
531,The dogs started to fight .,A2
532,There was a red car parked there .,A2
533,There were two tigers at the zoo .,A2
534,I have just started my new job .,A2
535,Have you started your new job yet ?,A2
536,That was the spot where the tree was .,A2
537,My parents died many years ago .,A2
538,My mother - in- law died three years ago .,A2
539,Her grandfather loved his steak rare .,A2
540,He liked his beef medium rare .,A2
541,She joined the U.S. Sailing Team .,A2
542,I 've never been outside of Japan .,A2
543,I have lived in Japan as well as in Canada .,A2
544,"She had beautiful , long hair .",A2
545,Eating more vegetables will help you to feel better .,A2
546,Both of them finished their homework .,A2
547,Emily finished her homework before she got too tired .,A2
548,The animals began to run .,A2
549,I wish we were all together again for one last dinner .,A2
550,I wish we could go again .,A2
551,Let me get you your coat .,A2
552,They could n't find anyone .,A2
553,He decided to buy flowers for his wife while he was out .,A2
554,None of them drink .,A2
555,You may go to the concert if you pay for it .,A2
556,I asked him to leave .,A2
557,"If I lived here , I 'd be so happy !",A2
558,I 'd be so happy if she lived here .,A2
559,They usually go to sleep early .,A2
560,He painted his room blue .,A2
561,It was painted blue .,A2
562,How long ago did it happen ?,A2
563,It happened a long time ago .,A2
564,She always wore boots with heels .,A2
565,She often shared her boots with her sister .,A2
566,It took the boat a year to travel across the whole world .,A2
567,I would have done it differently if I had known .,A2
568,Did you tell her where to meet us ?,A2
569,Did your wife come with you ?,A2
570,The train stopped before I arrived at my station .,A2
571,The train stopped suddenly .,A2
572,He 's my big brother .,A2
573,That 's the house where we hope to live .,A2
574,I would love to live in a house like this one .,A2
575,She 's made a lot of friends .,A2
576,She made many friends before leaving the country .,A2
577,The band started to play .,A2
578,Her heart was broken .,A2
579,Have you just finished ?,A2
580,Has it already been finished ?,A2
581,We learned about clouds today .,A2
582,It was a wonderful place to view the sunset .,A2
583,We sat watching the sunset .,A2
584,His bird died suddenly .,A2
585,There are many kinds of fruit in the world .,A2
586,Is this the spot where the restaurant is ?,A2
587,You 've made a promise .,A2
588,I wish I could have done it .,A2
589,It was time for dinner .,A2
590,You look like your sister .,A2
591,The temperature is really mild this morning .,A2
592,Yesterday was one of the warmest days so far .,A2
593,Children are not allowed in bars .,A2
594,My sister might leave early today .,A2
595,Most sharks are not dangerous .,A2
596,I hope to become a teacher .,A2
597,Have you changed your socks ?,A2
598,Did you have a chance to speak to your boss ?,A2
599,May I speak with your boss ?,A2
600,There are twenty children in one class .,A2
601,There were twenty people in the room .,A2
602,What if she went with us ?,A2
603,What if we went together ?,A2
604,Have you seen my book ?,A2
605,Do you want to read this book ?,A2
606,The second semester begins in September .,A2
607,The new US school year starts in September .,A2
608,All children need a good education .,A2
609,She dropped the napkin on the floor .,A2
610,Her arm was broken .,A2
611,Her leg was broken in the crash .,A2
612,Is that your car ?,A2
613,That 's the house where they went to play video games last week .,A2
614,We stood looking at the sky .,A2
615,Put away the winter pajamas .,A2
616,Pick up your pajamas .,A2
617,She always had an apple for snack .,A2
618,She always put apples in her yogurt .,A2
619,She asked me to stay .,A2
620,She would like you to come with us .,A2
621,She knows a place where we can go .,A2
622,Halloween is in October .,A2
623,I wish I could find that book .,A2
624,Could you lend me that book ?,A1
625,Have either of you guys finished the homework ?,A2
626,She is the woman whose research has been published .,A2
627,The sun began to rise .,A2
628,Pass me that football .,A2
629,"Pass me that ball , would you ?",A2
630,The children have already gone to sleep .,A2
631,College is expensive to go to .,A2
632,The students were bored .,A2
633,That is the house where she works as a maid .,A2
634,That 's the house where guests stay .,A2
635,It will rain tonight so you should take an umbrella .,A2
636,I wish I could go back in time .,A2
637,Some students did n't come to class .,A2
638,That was the day when she knew her life had changed .,A2
639,"In order to get there on time , he left work early .",A2
640,He left early in order to get home .,A2
641,There was a car parked next to the house .,A2
642,I wish I could be your friend .,A2
643,I wish I had a friend .,A2
644,Sometimes the baby would not stop crying .,A2
645,This school has many hard -working teachers .,A2
646,Have you got your homework ?,A2
647,Have you been doing your homework ?,A2
648,Do you have weekend plans ?,A2
649,Have you already done it ?,A2
650,Have you done it yet ?,A2
651,Vegetables are very healthy for you .,A2
652,Green vegetables are always good for you .,A2
653,"If it had been yours , you 'd cry .",A2
654,He is a man whom I trust .,A2
655,Nobody had enough money .,A2
656,She is a woman whom many people respect .,A2
657,She is a woman whom many people like .,A2
658,What would you do if you were me ?,A2
659,Do you have kids ? How many ?,A2
660,How many children do you have ?,A2
661,The room started to shake .,A2
662,He never trusts anyone except his older brother .,B1
663,Do you have a wind chill calculator ?,B1
664,"Although you 've no doubt seen this kind of crime before , it is nevertheless shocking to see the violence .",B1
665,The new immigration bill would allow some people to stay in the country .,B1
666,Petting animals is good for relaxing people under stress .,B1
667,I love petting our neighbor 's cat .,B1
668,I am a reading specialist .,A2
669,Mindy always wore cute orange earrings .,A2
670,My brother loved his pet mouse .,B1
671,She whispered so as not to wake him .,B1
672,He was very skilled in singing .,B1
673,I do n't know why the school changed their curriculum so suddenly .,B1
674,"The schedule has changed , but it is still possible to find good classes with good teachers .",B1
675,"On the trip , he bought a pair of lovely silk pajamas for his wife .",B1
676,He lived near a turkey farm .,B1
677,He had a huge cabbage farm .,B1
678,Each jockey wears a different color .,B1
679,"None of them would admit that they made a mistake , and that everyone was equally at fault .",B1
680,Hannah might be transferring to another school next semester .,B1
681,The sound came in intervals .,B1
682,I do n't have any money to lend you for your schemes .,B1
683,"No one likes their work to be criticized , especially when they have put a lot of time and effort into it .",B1
684,The pigs were kept in a small pen .,B1
685,The doctor asked me about what she ate .,B1
686,She was trying to find out what it was that was making them sick .,B1
687,My husband 's brother is my brother - in- law .,B1
688,"If we were all the same , would life be safer ?",B1
689,Tie the rowboat to the dock .,B1
690,Our rowboat is gone !,B1
691,We hope to see that movie but I heard the tickets might be sold out .,B1
692,"This year was one of the coldest winters in recorded history , some say because of the climate change issue .",B1
693,Giant stones crashed down from the mountain .,B1
694,Everyone stopped what they were doing when the earthquake shook the building .,B1
695,I found her crying quietly in her room the day her cat died .,A2
696,This building is for people whose income is quite high .,B1
697,The dog is afraid of the thunder .,B1
698,She told what I saw as a convincing story of her experiences .,B1
699,My school friend is an Army general now .,B1
700,"If he tried to touch it , he would be burned .",B1
701,By telling jokes in class Professor Allen kept his students alert and amused .,B1
702,A psychiatrist lives in my building .,A2
703,"If she had been with me , I know we would have had such a great time .",B1
704,Few people succeed in starting their own business and profiting greatly from it .,B1
705,"Strangely , she only ate cereal at night .",B1
706,Anything from Japan reminds me of home .,B1
707,He never greets people he dislikes .,B1
708,There were many stray cats along the road .,B1
709,The dog was pleased to see his master again after a long time .,B1
710,There is one girl in our class who always falls asleep .,B1
711,Heroin is one of the most dangerous drugs because it is so addictive .,B1
712,The lion roared loudly .,B1
713,The coach yelled loudly .,B1
714,Nobody liked the new uniform design .,B1
715,She practiced so as to improve .,B1
716,She did n't understand why many people disliked peas .,B1
717,She pointed her finger at him .,B1
718,Some people are not at all affectionate .,B1
719,They threw away what they could n't eat .,B1
720,He followed her movements like an eagle .,B1
721,We learned how to predict typhoons .,B1
722,He did n't like how sticky peanut butter was .,B1
723,He loved the scent of peanuts .,B1
724,No airplanes are flying because of the violent storm .,B1
725,Is fish healthier than fruit ?,B1
726,Fresh fruit in the diet may protect against cancer .,B1
727,She wore a hat to block the sun .,B1
728,It feels good to get these assignments finished early .,A2
729,It 's nice to see a paper you 've been working on for months finally completed .,B1
730,Many buildings are made with steel beams .,B1
731,He learned where to get good Japanese food .,B1
732,She was the woman whom I called my closest friend .,A2
733,Her memory began to fail until finally she no longer knew me .,B1
734,She borrowed money to pay her bills .,B1
735,So many high school graduates do n't know what they want to study at university .,A2
736,Do you think he will mind if I borrow his ?,A2
737,They have n't gotten any sleep since the twins were born .,B1
738,The heated air feels great in winter .,B1
739,He would be happy if I went too .,B1
740,What we eat says a lot about us as a society .,B1
741,She always preferred soy beans over anything .,B1
742,Football is played in stadiums .,B1
743,"They had a long , loving marriage .",B1
744,Snow boots are good to have because they are warm .,B1
745,The championship game had a large crowd .,A2
746,There is no reason to be so depressed about the results .,B1
747,I am disappointed by what I find in my refrigerator .,B1
748,Some people would like to know what it is to be like a celebrity .,B1
749,We wanted to get started before the rising sun get too hot .,B1
750,The quiz is impossible to complete .,B1
751,Her notebook was next to mine when I saw it last .,A2
752,She is our foster daughter .,B1
753,Gina added more beans to her diet .,B1
754,Nobody spoke another word after the professor got mad .,B1
755,His friends often come over and hang out at our house .,B1
756,He asked her what to get for his mother 's birthday .,B1
757,Some teachers with large classes never get to know their students .,B1
758,She gave me beautiful gloves for Christmas .,B1
759,He fixed his tie before starting his presentation .,B1
760,Cargo ships dock in port cities .,B1
761,"You can borrow ours , but please just be careful with it .",B1
762,I got newspaper ink on my shirt .,B1
763,Lots of people got sick on the cruise ship .,A2
764,They all seemed scared of the noises .,B1
765,The students learned to check their papers with spell and grammar tools .,B1
766,Tim was always trimming his moustache .,A2
767,Her favorite vegetable is cauliflowers .,B1
768,She used vegetable oil to fry the vegetables .,B1
